id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_guru,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,8372,ORANG,2015/2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5169,ORANG,2015/2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5398,ORANG,2015/2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5462,ORANG,2015/2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,5517,ORANG,2015/2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4403,ORANG,2015/2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2937,ORANG,2015/2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2311,ORANG,2015/2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,3987,ORANG,2015/2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2484,ORANG,2015/2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2411,ORANG,2015/2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4133,ORANG,2015/2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,3166,ORANG,2015/2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2156,ORANG,2015/2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3432,ORANG,2015/2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,4271,ORANG,2015/2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2822,ORANG,2015/2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1031,ORANG,2015/2016
19,32,JAWA BARAT,3271,KOTA BOGOR,1838,ORANG,2015/2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1060,ORANG,2015/2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,3934,ORANG,2015/2016
22,32,JAWA BARAT,3274,KOTA CIREBON,931,ORANG,2015/2016
23,32,JAWA BARAT,3275,KOTA BEKASI,3181,ORANG,2015/2016
24,32,JAWA BARAT,3276,KOTA DEPOK,2363,ORANG,2015/2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,846,ORANG,2015/2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1672,ORANG,2015/2016
27,32,JAWA BARAT,3279,KOTA BANJAR,509,ORANG,2015/2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,8216,ORANG,2016/2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3832,ORANG,2016/2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4183,ORANG,2016/2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5547,ORANG,2016/2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,244,ORANG,2016/2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5163,ORANG,2016/2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3839,ORANG,2016/2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2317,ORANG,2016/2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2272,ORANG,2016/2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2283,ORANG,2016/2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4075,ORANG,2016/2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3309,ORANG,2016/2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,3124,ORANG,2016/2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1844,ORANG,2016/2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3216,ORANG,2016/2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,5021,ORANG,2016/2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2841,ORANG,2016/2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,913,ORANG,2016/2017
46,32,JAWA BARAT,3271,KOTA BOGOR,5243,ORANG,2016/2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,2123,ORANG,2016/2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,800,ORANG,2016/2017
49,32,JAWA BARAT,3274,KOTA CIREBON,1018,ORANG,2016/2017
50,32,JAWA BARAT,3275,KOTA BEKASI,4431,ORANG,2016/2017
51,32,JAWA BARAT,3276,KOTA DEPOK,2812,ORANG,2016/2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,995,ORANG,2016/2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1655,ORANG,2016/2017
54,32,JAWA BARAT,3279,KOTA BANJAR,501,ORANG,2016/2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,8136,ORANG,2017/2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3736,ORANG,2017/2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4085,ORANG,2017/2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5481,ORANG,2017/2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,5117,ORANG,2017/2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3788,ORANG,2017/2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2276,ORANG,2017/2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2252,ORANG,2017/2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,4050,ORANG,2017/2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2290,ORANG,2017/2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2438,ORANG,2017/2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3309,ORANG,2017/2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,3107,ORANG,2017/2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1812,ORANG,2017/2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3169,ORANG,2017/2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,4943,ORANG,2017/2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2826,ORANG,2017/2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,899,ORANG,2017/2018
73,32,JAWA BARAT,3271,KOTA BOGOR,2147,ORANG,2017/2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,801,ORANG,2017/2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,5335,ORANG,2017/2018
76,32,JAWA BARAT,3274,KOTA CIREBON,1014,ORANG,2017/2018
77,32,JAWA BARAT,3275,KOTA BEKASI,4377,ORANG,2017/2018
78,32,JAWA BARAT,3276,KOTA DEPOK,2817,ORANG,2017/2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,997,ORANG,2017/2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1625,ORANG,2017/2018
81,32,JAWA BARAT,3279,KOTA BANJAR,500,ORANG,2017/2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,8374,ORANG,2018/2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3916,ORANG,2018/2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4328,ORANG,2018/2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5779,ORANG,2018/2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,2448,ORANG,2018/2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5146,ORANG,2018/2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3807,ORANG,2018/2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2373,ORANG,2018/2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2319,ORANG,2018/2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2271,ORANG,2018/2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4189,ORANG,2018/2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3393,ORANG,2018/2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,3187,ORANG,2018/2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1746,ORANG,2018/2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3270,ORANG,2018/2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,5107,ORANG,2018/2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2884,ORANG,2018/2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,931,ORANG,2018/2019
100,32,JAWA BARAT,3271,KOTA BOGOR,5281,ORANG,2018/2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,2192,ORANG,2018/2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,809,ORANG,2018/2019
103,32,JAWA BARAT,3274,KOTA CIREBON,1044,ORANG,2018/2019
104,32,JAWA BARAT,3275,KOTA BEKASI,4621,ORANG,2018/2019
105,32,JAWA BARAT,3276,KOTA DEPOK,2791,ORANG,2018/2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,992,ORANG,2018/2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1684,ORANG,2018/2019
108,32,JAWA BARAT,3279,KOTA BANJAR,514,ORANG,2018/2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,8723,ORANG,2019/2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3882,ORANG,2019/2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4371,ORANG,2019/2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5956,ORANG,2019/2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,5284,ORANG,2019/2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3770,ORANG,2019/2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2331,ORANG,2019/2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2344,ORANG,2019/2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,4314,ORANG,2019/2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2272,ORANG,2019/2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2523,ORANG,2019/2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3460,ORANG,2019/2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,3169,ORANG,2019/2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1810,ORANG,2019/2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3325,ORANG,2019/2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,5336,ORANG,2019/2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2971,ORANG,2019/2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1001,ORANG,2019/2020
127,32,JAWA BARAT,3271,KOTA BOGOR,2240,ORANG,2019/2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,808,ORANG,2019/2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,5039,ORANG,2019/2020
130,32,JAWA BARAT,3274,KOTA CIREBON,1035,ORANG,2019/2020
131,32,JAWA BARAT,3275,KOTA BEKASI,4704,ORANG,2019/2020
132,32,JAWA BARAT,3276,KOTA DEPOK,3208,ORANG,2019/2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,932,ORANG,2019/2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1628,ORANG,2019/2020
135,32,JAWA BARAT,3279,KOTA BANJAR,534,ORANG,2019/2020
